lng,lat,elevation,resolution
33.2415,2.3315,1045.1687,152.7032
33.2415,2.3316,1045.0876,152.7032
33.2415,2.3317,1045.0065,152.7032
33.2415,2.3318,1044.9254,152.7032
33.2415,2.3319,1044.8529,152.7032
33.2415,2.332,1044.7883,152.7032
33.2415,2.3321,1044.7239,152.7032
33.2415,2.3322,1044.6593,152.7032
33.2415,2.3323,1044.5947,152.7032
33.2415,2.3324,1044.5302,152.7032
33.2415,2.3325,1044.4657,152.7032
33.2415,2.3326,1044.3483,152.7032
33.2415,2.3327,1044.2026,152.7032
33.2415,2.3328,1044.057,152.7032
33.2415,2.3329,1043.9114,152.7032
33.2415,2.333,1043.7657,152.7032
33.2415,2.3331,1043.62,152.7032
33.2415,2.3332,1043.4744,152.7032
33.2415,2.3333,1043.3795,152.7032
33.2415,2.3334,1043.2985,152.7032
33.2415,2.3335,1043.2173,152.7032
33.2415,2.3336,1043.1362,152.7032
33.2415,2.3337,1043.0552,152.7032
33.2415,2.3338,1042.974,152.7032
33.2415,2.3339,1042.8929,152.7032
33.2415,2.334,1042.8864,152.7032
33.2415,2.3341,1042.8864,152.7032
33.2415,2.3342,1042.8864,152.7032
33.2415,2.3343,1042.8864,152.7032
33.2415,2.3344,1042.8864,152.7032
33.2415,2.3345,1042.8864,152.7032
33.2415,2.3346,1042.8831,152.7032
33.2415,2.3347,1042.8185,152.7032
33.2415,2.3348,1042.7539,152.7032
33.2415,2.3349,1042.6893,152.7032
33.2415,2.335,1042.6248,152.7032
33.2415,2.3351,1042.5603,152.7032
33.2415,2.3352,1042.4957,152.7032
33.2415,2.3353,1042.3889,152.7032
33.2415,2.3354,1042.0977,152.7032
33.2415,2.3355,1041.8064,152.7032
33.2415,2.3356,1041.5151,152.7032
33.2415,2.3357,1041.2239,152.7032
33.2415,2.3358,1040.9326,152.7032
33.2415,2.3359,1040.6414,152.7032
33.2415,2.336,1040.4432,152.7032
33.2415,2.3361,1040.4432,152.7032
33.2415,2.3362,1040.4432,152.7032
33.2415,2.3363,1040.4432,152.7032
33.2415,2.3364,1040.4432,152.7032
33.2415,2.3365,1040.4432,152.7032
33.2415,2.3366,1040.4432,152.7032
33.2415,2.3367,1040.3112,152.7032
33.2415,2.3368,1040.0199,152.7032
33.2415,2.3369,1039.7286,152.7032
33.2415,2.337,1039.4374,152.7032
33.2415,2.3371,1039.1461,152.7032
33.2415,2.3372,1038.8547,152.7032
33.2415,2.3373,1038.5635,152.7032
33.2415,2.3374,1038.4432,152.7032
33.2415,2.3375,1038.4432,152.7032
33.2415,2.3376,1038.4432,152.7032
33.2415,2.3377,1038.4432,152.7032
33.2415,2.3378,1038.4432,152.7032
33.2415,2.3379,1038.4432,152.7032
33.2415,2.338,1038.4432,152.7032
33.2415,2.3381,1038.3383,152.7032
33.2415,2.3382,1038.1926,152.7032
33.2415,2.3383,1038.047,152.7032
33.2415,2.3384,1037.9014,152.7032
33.2415,2.3385,1037.7557,152.7032
33.2415,2.3386,1037.6101,152.7032
33.2415,2.3387,1037.4645,152.7032
33.2415,2.3388,1037.3739,152.7032
33.2415,2.3389,1037.2928,152.7032
33.2415,2.339,1037.2118,152.7032
33.2415,2.3391,1037.1307,152.7032
33.2415,2.3392,1037.0496,152.7032
33.2415,2.3393,1036.9685,152.7032
33.2415,2.3394,1036.8875,152.7032
33.2415,2.3395,1036.8864,152.7032
33.2415,2.3396,1036.8864,152.7032
33.2415,2.3397,1036.8864,152.7032
33.2415,2.3398,1036.8864,152.7032
33.2415,2.3399,1036.8864,152.7032
33.2415,2.34,1036.8864,152.7032
33.2415,2.3401,1036.8785,152.7032
33.2415,2.3402,1036.8141,152.7032
33.2415,2.3403,1036.7495,152.7032
33.2415,2.3404,1036.6849,152.7032
33.2415,2.3405,1036.6204,152.7032
33.2415,2.3406,1036.5559,152.7032
33.2415,2.3407,1036.4913,152.7032
33.2415,2.3408,1036.369,152.7032
33.2415,2.3409,1036.0778,152.7032
33.2415,2.341,1035.7865,152.7032
33.2415,2.3411,1035.4952,152.7032
33.2415,2.3412,1035.204,152.7032
33.2415,2.3413,1034.9127,152.7032
33.2415,2.3414,1034.6215,152.7032
33.2415,2.3415,1034.3867,152.7032
33.2415,2.3416,1034.2411,152.7032
33.2415,2.3417,1034.0953,152.7032
33.2415,2.3418,1033.9497,152.7032
33.2415,2.3419,1033.8041,152.7032
33.2415,2.342,1033.6584,152.7032
33.2415,2.3421,1033.5128,152.7032
33.2415,2.3422,1033.3672,152.7032
33.2415,2.3423,1033.2216,152.7032
33.2415,2.3424,1033.0759,152.7032
33.2415,2.3425,1032.9303,152.7032
33.2415,2.3426,1032.7847,152.7032
33.2415,2.3427,1032.639,152.7032
33.2415,2.3428,1032.4934,152.7032
33.2415,2.3429,1032.3054,152.7032
33.2415,2.343,1032.0953,152.7032
33.2415,2.3431,1031.8851,152.7032
33.2416,2.3184,1047.1776,152.7032
33.2416,2.3185,1047.1776,152.7032
33.2416,2.3186,1047.1776,152.7032
33.2416,2.3187,1047.1776,152.7032
33.2416,2.3188,1047.1776,152.7032
33.2416,2.3189,1047.1776,152.7032
33.2416,2.319,1047.1776,152.7032
33.2416,2.3191,1047.1776,152.7032
33.2416,2.3192,1047.1776,152.7032
33.2416,2.3193,1047.1776,152.7032
33.2416,2.3194,1047.1776,152.7032
33.2416,2.3195,1047.1511,152.7032
33.2416,2.3196,1046.9197,152.7032
33.2416,2.3197,1046.6884,152.7032
33.2416,2.3198,1046.4569,152.7032
33.2416,2.3199,1046.2256,152.7032
33.2416,2.32,1045.9941,152.7032
33.2416,2.3201,1045.7628,152.7032
33.2416,2.3202,1045.6038,152.7032
33.2416,2.3203,1045.6636,152.7032
33.2416,2.3204,1045.7235,152.7032
33.2416,2.3205,1045.7833,152.7032
33.2416,2.3206,1045.8433,152.7032
33.2416,2.3207,1045.9031,152.7032
33.2416,2.3208,1045.963,152.7032
33.2416,2.3209,1046.0654,152.7032
33.2416,2.321,1046.2371,152.7032
33.2416,2.3211,1046.4086,152.7032
33.2416,2.3212,1046.5801,152.7032
33.2416,2.3213,1046.7516,152.7032
33.2416,2.3214,1046.9231,152.7032
33.2416,2.3215,1047.0946,152.7032
33.2416,2.3216,1047.2836,152.7032
33.2416,2.3217,1047.4891,152.7032
33.2416,2.3218,1047.6946,152.7032
33.2416,2.3219,1047.9001,152.7032
33.2416,2.322,1048.1057,152.7032
33.2416,2.3221,1048.3112,152.7032
33.2416,2.3222,1048.5167,152.7032
33.2416,2.3223,1048.5889,152.7032
33.2416,2.3224,1048.5889,152.7032
33.2416,2.3225,1048.5889,152.7032
33.2416,2.3226,1048.5889,152.7032
33.2416,2.3227,1048.5889,152.7032
33.2416,2.3228,1048.5889,152.7032
